,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Duty
36,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
37,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,middle,top,top,middle,top,middle,bottom,top,middle,middle,bottom,middle,bottom,bottom,bottom,middle,top,bottom,bottom,bottom,top,top,top,top,top,0
38,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,middle,bottom,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
39,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
40,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,middle,bottom,top,middle,top,bottom,bottom,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
41,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,middle,middle,top,middle,top,bottom,middle,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
42,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
43,top,top,top,top,top,middle,middle,middle,top,top,top,top,top,top,top,top,top,top,top,middle,bottom,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
44,bottom,top,top,bottom,top,bottom,bottom,middle,middle,top,top,middle,top,middle,middle,top,top,top,bottom,top,top,bottom,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
45,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
46,bottom,bottom,bottom,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,top,bottom,top,middle,top,bottom,middle,bottom,bottom,top,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
47,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,top,top,top,top,top,bottom,top,top,top,top,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
48,top,top,top,top,top,top,middle,middle,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
49,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
50,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,middle,middle,top,top,top,top,bottom,middle,middle,bottom,bottom,bottom,bottom,bottom,3
51,middle,top,top,middle,top,middle,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
52,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
53,top,middle,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
54,top,top,top,middle,middle,middle,middle,top,top,middle,middle,middle,top,middle,top,top,top,top,middle,top,top,middle,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
55,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
56,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
57,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,middle,top,top,middle,top,middle,middle,middle,middle,top,bottom,middle,bottom,bottom,top,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
58,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
59,middle,top,top,middle,top,middle,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,middle,middle,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
60,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,middle,bottom,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
61,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,top,middle,bottom,bottom,bottom,bottom,bottom,2
62,middle,top,top,middle,middle,middle,middle,top,top,top,top,top,top,middle,middle,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
63,middle,middle,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,middle,middle,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
64,middle,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
65,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
66,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,middle,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
67,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
68,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
69,middle,top,top,middle,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
70,middle,top,top,middle,top,middle,top,top,top,middle,top,middle,top,middle,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
71,middle,top,top,middle,top,top,top,top,top,top,top,middle,top,middle,top,top,top,top,top,top,top,middle,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
72,middle,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
73,middle,top,top,middle,top,middle,bottom,top,top,top,top,middle,top,middle,top,top,top,top,bottom,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
74,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,middle,bottom,top,top,top,top,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,2
75,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
76,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,middle,top,middle,top,top,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,3
77,middle,top,top,middle,middle,middle,bottom,top,top,top,top,middle,top,middle,middle,top,top,top,bottom,top,top,bottom,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
78,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
79,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
80,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,2
81,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,middle,bottom,middle,middle,top,bottom,bottom,bottom,bottom,top,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
82,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
83,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
84,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,middle,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
85,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
86,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,2
87,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
88,bottom,top,middle,bottom,middle,bottom,bottom,top,top,top,top,top,top,middle,middle,top,top,top,bottom,top,top,bottom,bottom,bottom,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
89,middle,top,top,middle,middle,middle,middle,top,top,middle,top,top,top,top,top,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
90,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,middle,top,top,top,middle,top,top,top,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,2
91,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
92,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,middle,bottom,top,middle,top,bottom,middle,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
93,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
94,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,middle,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,2
95,middle,top,top,middle,top,middle,middle,top,top,top,top,middle,top,middle,top,top,top,top,middle,top,top,middle,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
96,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
97,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,2
98,top,top,top,top,top,top,middle,top,top,top,top,middle,top,middle,top,top,top,top,top,middle,middle,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
99,top,top,top,top,top,top,top,top,top,middle,middle,middle,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
100,top,top,top,top,top,top,middle,middle,top,top,top,middle,top,middle,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
101,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
102,middle,top,top,middle,middle,middle,top,top,top,middle,top,middle,top,middle,top,middle,top,top,top,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
103,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
104,middle,top,top,middle,top,middle,middle,top,top,top,top,top,top,middle,top,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
105,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
106,middle,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
107,middle,top,top,middle,top,top,middle,top,top,middle,middle,middle,top,middle,top,top,top,top,middle,top,top,middle,middle,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
108,middle,top,top,bottom,middle,middle,middle,top,top,top,top,top,top,middle,top,top,middle,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
109,top,top,top,top,top,top,top,top,top,middle,middle,top,top,middle,top,top,top,top,top,top,bottom,top,top,top,top,bottom,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
110,middle,top,top,bottom,top,bottom,bottom,top,top,top,top,middle,top,middle,top,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
111,middle,top,top,bottom,middle,middle,middle,middle,middle,top,top,middle,top,middle,top,top,top,top,middle,top,top,bottom,bottom,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
112,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
113,middle,top,top,middle,middle,top,top,top,top,top,top,middle,top,middle,top,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
114,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,2
115,bottom,top,top,middle,middle,bottom,bottom,top,top,middle,top,middle,top,middle,top,middle,top,top,top,top,top,bottom,bottom,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
116,top,top,top,top,top,top,middle,middle,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
117,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
118,top,top,top,middle,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
119,middle,top,top,middle,middle,middle,middle,top,top,top,top,top,top,top,middle,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
120,middle,top,top,middle,top,top,middle,top,top,middle,middle,middle,top,middle,middle,top,top,top,middle,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
121,middle,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
122,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,middle,bottom,middle,bottom,bottom,bottom,bottom,bottom,2
123,middle,top,top,middle,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
124,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,top,top,top,top,bottom,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
125,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
126,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,top,top,top,top,top,bottom,top,middle,top,bottom,middle,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
127,bottom,top,top,bottom,top,middle,bottom,top,top,top,top,top,top,middle,top,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
128,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,top,top,bottom,bottom,top,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
129,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
130,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,middle,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
131,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,middle,bottom,top,middle,top,bottom,bottom,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
132,top,top,top,top,top,top,top,top,top,middle,middle,middle,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
133,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,middle,middle,middle,top,middle,bottom,top,middle,middle,bottom,middle,bottom,bottom,middle,bottom,middle,bottom,bottom,bottom,top,top,top,top,top,0
134,top,middle,top,middle,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
135,middle,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
136,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
137,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,middle,top,middle,middle,top,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,2
138,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
139,top,top,top,top,top,top,middle,top,top,top,top,top,top,middle,top,top,top,top,middle,top,top,top,top,top,top,middle,top,top,bottom,bottom,bottom,bottom,bottom,3
140,top,middle,top,middle,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
141,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,top,top,middle,bottom,top,middle,top,bottom,bottom,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
142,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
143,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
144,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
145,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
146,middle,top,middle,middle,middle,bottom,middle,middle,middle,top,top,middle,top,top,top,top,top,top,middle,top,top,middle,middle,bottom,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
147,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,middle,bottom,top,middle,top,bottom,middle,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
148,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
149,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,middle,middle,middle,top,top,middle,middle,middle,middle,top,bottom,middle,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
150,bottom,top,top,middle,middle,middle,middle,top,top,middle,middle,middle,top,middle,top,top,middle,top,middle,top,top,bottom,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
151,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,middle,top,top,top,top,middle,bottom,middle,bottom,bottom,bottom,bottom,bottom,3
